Date,value
Mar-03,1047
Mar-04,904
Mar-05,868
Mar-06,764
Mar-07,758
Mar-08,775
Mar-09,664
Mar-10,620
Mar-11,639
Mar-12,553
Mar-13,558
Mar-14,533
Mar-15,539
Mar-16,577
Mar-17,709
Mar-18,712
Mar-19,674
Mar-20,710
Mar-21,573
Mar-22,692
Mar-23,576
Mar-24,567
Mar-25,535
