countryiso3code,country_name,year,current_gdp_USd,co2_emissions
,High income,2019,41342.2066107349,10.6106389694881
,Low income,2019,645.998249720369,0.393224977800755
,Lower middle income,2019,2228.84805859217,1.47756969747791
,Upper middle income,2019,8657.73234539015,6.22134433613929
ABW,Aruba,2019,30645.8906024548,4.66562273930203
AFE,Africa Eastern and Southern,2019,1507.08559963484,0.984697077678186
AFG,Afghanistan,2019,496.6025042585,0.319752781855278
AFW,Africa Western and Central,2019,2216.38505520833,0.516134318686947
AGO,Angola,2019,2493.67884440177,0.833846270553112
ALB,Albania,2019,6069.43903131027,1.94096037816015
ARB,Arab World,2019,6674.34224402621,4.57737026452394
ARE,United Arab Emirates,2019,45938.6073581994,20.945786930361
ARG,Argentina,2019,9955.97478680428,4.07504069344001
ARM,Armenia,2019,4597.22887399548,2.16867510548523
ASM,American Samoa,2019,12886.1359517218,0.00199167479933876
ATG,Antigua and Barbuda,2019,18896.3721832248,3.74983582154897
AUS,Australia,2019,55194.7585097428,16.1007065925773
AUT,Austria,2019,49885.9947355204,7.74519365039325
AZE,Azerbaijan,2019,4805.75371765917,3.68923143929596
BDI,Burundi,2019,234.31061590725,0.0624381085920451
BEL,Belgium,2019,46716.6227467964,8.73127988733552
BEN,Benin,2019,1130.82135339795,0.639872457668903
BFA,Burkina Faso,2019,764.853077774946,0.271887847085997
BGD,Bangladesh,2019,2129.79896954606,0.662908100271382
BGR,Bulgaria,2019,10353.7204584127,6.74590424327681
BHR,Bahrain,2019,27259.7438599327,24.8338675631303
BHS,"Bahamas, The",2019,33640.3369861278,3.67517577753848
BIH,Bosnia and Herzegovina,2019,6122.37541352353,6.75452909895075
BLR,Belarus,2019,6837.77339645635,6.50202478662403
BLZ,Belize,2019,6171.61449761423,1.03206342706225
BMU,Bermuda,2019,115798.040775578,4.71867346779603
BOL,Bolivia,2019,4203.15492855788,1.88492609189688
BRA,Brazil,2019,9029.83304401079,2.25869881785082
BRB,Barbados,2019,21912.1501242857,3.08882780300633
BRN,Brunei Darussalam,2019,30426.5730656528,17.1760639739767
BTN,Bhutan,2019,3576.87987100503,2.36171982050772
BWA,Botswana,2019,7172.08956480028,3.14825844534693
CAF,Central African Republic,2019,449.228467602439,0.0611563525655636
CAN,Canada,2019,46352.8693445211,16.190860373335
CEB,Central Europe and the Baltics,2019,16534.9264870407,6.8563164746062
CHE,Switzerland,2019,84121.9310304414,4.47745146514166
CHL,Chile,2019,14495.716721687,4.96139546396702
CHN,China,2019,10342.9009524335,8.39147587098516
CIV,Cote d'Ivoire,2019,2141.76836170115,0.467605284700189
CMR,Cameroon,2019,1555.22660476477,0.402691984014017
COD,"Congo, Dem. Rep.",2019,504.00419142286,0.0478324083410493
COG,"Congo, Rep.",2019,2488.42466724916,1.28891524697681
COL,Colombia,2019,6472.54544924705,1.72438739011403
COM,Comoros,2019,1510.23218151592,0.287320520024715
CPV,Cabo Verde,2019,4380.78117331128,1.62982587180804
CRI,Costa Rica,2019,12884.6859951989,1.63874650393745
CSS,Caribbean small states,2019,13995.8548364074,9.57560586739
CUB,Cuba,2019,9232.26115935183,1.98985150737589
CYM,Cayman Islands,2019,88254.2902486867,5.84460914640486
CYP,Cyprus,2019,29227.173828125,5.60889302704421
CZE,Czechia,2019,24062.7190013343,9.72456561033821
DEU,Germany,2019,47656.199739747,8.38218043063623
DJI,Djibouti,2019,2837.16902340932,0.765677513458601
DMA,Dominica,2019,9491.14995962374,1.26988803771361
DNK,Denmark,2019,59404.2663247723,5.17323991963432
DOM,Dominican Republic,2019,8183.01623600375,2.61257459696093
DZA,Algeria,2019,4468.45341883656,4.19651934911155
EAP,East Asia & Pacific (excluding high income),2019,8286.3981179292,6.46382495043622
EAR,Early-demographic dividend,2019,3483.31545469615,2.34551136850619
EAS,East Asia & Pacific,2019,11622.8915284735,6.8464646686446
ECA,Europe & Central Asia (excluding high income),2019,6069.27407282315,5.06146841130229
ECS,Europe & Central Asia,2019,25020.8648271756,7.04136821125575
ECU,Ecuador,2019,6205.05765246766,2.41784020907472
EGY,"Egypt, Arab Rep.",2019,2962.98892023003,2.20383858928624
EMU,Euro area,2019,39220.5136743355,6.4810670393849
ESP,Spain,2019,29786.5245689007,5.3981216422823
EST,Estonia,2019,24021.2501413306,11.6534202327534
ETH,Ethiopia,2019,793.473247210264,0.159693432847017
EUU,European Union,2019,35374.1403676934,6.50775335523423
FCS,Fragile and conflict affected situations,2019,1861.65330453031,0.979214232814166
FIN,Finland,2019,48358.1807773701,7.99426833424913
FJI,Fiji,2019,5842.07344577597,1.76959423936413
FRA,France,2019,40408.2848574751,4.79214044818249
FRO,Faroe Islands,2019,63068.2872688483,0.0405468025949954
FSM,"Micronesia, Fed. Sts.",2019,3572.65918282222,0.0018135325801128
GAB,Gabon,2019,7441.1786472281,2.49273935862938
GBR,United Kingdom,2019,43158.7411267323,5.38807912233045
GEO,Georgia,2019,4741.2832715876,3.20488817553864
GHA,Ghana,2019,2186.65822682613,0.648665525979844
GIN,Guinea,2019,1031.34146480732,0.369331917381969
GMB,"Gambia, The",2019,738.186751987483,0.189267206220664
GNB,Guinea-Bissau,2019,811.216425885129,0.181227181434531
GNQ,Equatorial Guinea,2019,6804.14923073888,3.0669803260373
GRC,Greece,2019,19335.3602002969,5.7354129269356
GRD,Grenada,2019,10462.7929159533,1.55542718203844
GRL,Greenland,2019,53309.2035905065,9.31791907514451
GTM,Guatemala,2019,4511.99839552697,1.14962736649855
GUM,Guam,2019,39274.9431424899,0.00247206565806388
GUY,Guyana,2019,6405.82443444562,3.45861217212582
HKG,"Hong Kong SAR, China",2019,48359.0011950597,5.79498927796055
HND,Honduras,2019,2502.32744328073,1.02100509944404
HPC,Heavily indebted poor countries (HIPC),2019,983.900062178744,0.314489417112082
HRV,Croatia,2019,15563.5987295029,4.5506268056586
HTI,Haiti,2019,1352.17204191532,0.323714293972993
HUN,Hungary,2019,17012.8598553199,5.31240175169761
IBD,IBRD only,2019,6476.07259783679,4.79938714812623
IBT,IDA & IBRD total,2019,5167.89523774327,3.68479689250317
IDA,IDA total,2019,1544.27890067061,0.580563345521785
IDB,IDA blend,2019,2205.87361894796,0.837924410402502
IDN,Indonesia,2019,4106.94856160358,2.33979466524606
IDX,IDA only,2019,1186.40559680864,0.439836223152672
IND,India,2019,2041.42863698585,1.83688223212799
IRL,Ireland,2019,81827.6688873996,7.30821291296457
IRN,"Iran, Islamic Rep.",2019,3997.4935449585,8.18571981543646
IRQ,Iraq,2019,5671.8568632942,4.70108992313127
ISL,Iceland,2019,69296.3144361601,8.81066554249882
ISR,Israel,2019,44250.6313628073,7.21388336646786
ITA,Italy,2019,33812.788724868,5.56784056329278
JAM,Jamaica,2019,6030.68896415921,2.98926316318908
JOR,Jordan,2019,4170.1144003465,2.18238735759201
JPN,Japan,2019,40415.9567649547,8.87456666113888
KAZ,Kazakhstan,2019,9457.12614657136,11.3909406022159
KEN,Kenya,2019,1960.40808854893,0.380387200105182
KGZ,Kyrgyz Republic,2019,1421.99927504102,1.55180160392437
KHM,Cambodia,2019,2225.87705485686,0.953249815669925
KIR,Kiribati,2019,1750.9977188915,0.614100919133964
KNA,St. Kitts and Nevis,2019,23595.4923231291,2.77304481172261
KOR,"Korea, Rep.",2019,33826.9443301597,12.6531894575046
KWT,Kuwait,2019,31707.8737443551,21.7968059903888
LAC,Latin America & Caribbean (excluding high income),2019,8282.78290882792,2.56748999526312
LAO,Lao PDR,2019,2589.32081035237,2.67630204116372
LBN,Lebanon,2019,8905.88005497437,4.66025747446672
LBR,Liberia,2019,658.164180770507,0.20014984968439
LBY,Libya,2019,9963.19489084483,8.26849764632106
LCA,St. Lucia,2019,11794.0597229805,1.65877710921361
LCN,Latin America & Caribbean,2019,8539.39776066424,2.76052351195346
LDC,Least developed countries: UN classification,2019,1105.24693378698,0.384004381560945
LKA,Sri Lanka,2019,4081.94772722003,1.09952758794661
LMY,Low & middle income,2019,4943.24879858439,3.49008767961443
LSO,Lesotho,2019,1082.05706777516,0.354575100536117
LTE,Late-demographic dividend,2019,10120.3125161359,7.32180660373432
LTU,Lithuania,2019,19608.7943945553,5.08575146500164
LUX,Luxembourg,2019,112696.649059674,15.63174898105
LVA,Latvia,2019,17294.9751600969,4.13194121501373
MAC,"Macao SAR, China",2019,81882.6964523869,3.34419642857143
