iso3,country_name,year,inflation
AUS,Australia,2000,4.45743514797224
AUS,Australia,2001,4.40713536201469
AUS,Australia,2002,2.98157453936348
AUS,Australia,2003,2.73259596616786
AUS,Australia,2004,2.34325522482583
AUS,Australia,2005,2.69183168316832
AUS,Australia,2006,3.55528773727026
AUS,Australia,2007,2.32761128891476
AUS,Australia,2008,4.35029854990048
AUS,Australia,2009,1.77111716621254
AUS,Australia,2010,2.91834002677376
AUS,Australia,2011,3.3038501560874
AUS,Australia,2012,1.76278015613196
AUS,Australia,2013,2.4498886414254
AUS,Australia,2014,2.48792270531404
AUS,Australia,2015,1.50836672165921
AUS,Australia,2016,1.27699094497324
AUS,Australia,2017,1.94864740944527
AUS,Australia,2018,1.91140094445691
AUS,Australia,2019,1.61076787290379
AUS,Australia,2020,0.846905537459305
AUS,Australia,2021,2.86391042204994
AUS,Australia,2022,6.59409671341846
AUS,Australia,2023,5.5970149253731
AUT,Austria,2000,2.34486285357282
AUT,Austria,2001,2.65000077279528
AUT,Austria,2002,1.81035787764127
AUT,Austria,2003,1.35555370896452
AUT,Austria,2004,2.06120618032862
AUT,Austria,2005,2.29913785639285
AUT,Austria,2006,1.4415485111902
AUT,Austria,2007,2.16855528800749
AUT,Austria,2008,3.21595033239886
AUT,Austria,2009,0.506308827696515
AUT,Austria,2010,1.81353438995062
AUT,Austria,2011,3.2865791487538
AUT,Austria,2012,2.48567562177015
AUT,Austria,2013,2.00015616900597
AUT,Austria,2014,1.60581182954474
AUT,Austria,2015,0.89656333526032
AUT,Austria,2016,0.891591752655362
AUT,Austria,2017,2.08126911385587
AUT,Austria,2018,1.9983798142954
AUT,Austria,2019,1.53089564152644
AUT,Austria,2020,1.38191063351862
AUT,Austria,2021,2.7666666666667
AUT,Austria,2022,8.5468699318845
AUT,Austria,2023,7.81413417002832
BEL,Belgium,2000,2.54451776190908
BEL,Belgium,2001,2.46925823086078
BEL,Belgium,2002,1.64521436175357
BEL,Belgium,2003,1.5889639997038
BEL,Belgium,2004,2.09728311239314
BEL,Belgium,2005,2.78143263670022
BEL,Belgium,2006,1.7912077007046
BEL,Belgium,2007,1.82305630026808
BEL,Belgium,2008,4.48944420508401
BEL,Belgium,2009,-0.0531456741253769
BEL,Belgium,2010,2.18929920422457
BEL,Belgium,2011,3.53208210722742
BEL,Belgium,2012,2.83966343445899
BEL,Belgium,2013,1.1130959402754
BEL,Belgium,2014,0.340002833356922
BEL,Belgium,2015,0.561429152790065
BEL,Belgium,2016,1.97385264653181
BEL,Belgium,2017,2.12597086002607
BEL,Belgium,2018,2.05316499865186
BEL,Belgium,2019,1.43681956996429
BEL,Belgium,2020,0.740791812220344
BEL,Belgium,2021,2.44024851144084
BEL,Belgium,2022,9.597511728725
BEL,Belgium,2023,4.04901077613941
CAN,Canada,2000,2.71943995691976
CAN,Canada,2001,2.52512013979906
CAN,Canada,2002,2.25839440940855
CAN,Canada,2003,2.75856321360112
CAN,Canada,2004,1.85725871857256
CAN,Canada,2005,2.21355203439767
CAN,Canada,2006,2.00202539534161
CAN,Canada,2007,2.13838399266837
CAN,Canada,2008,2.37027067444299
CAN,Canada,2009,0.299466803009299
CAN,Canada,2010,1.77687154092627
CAN,Canada,2011,2.91213508872351
CAN,Canada,2012,1.51567823124517
CAN,Canada,2013,0.938291897815317
CAN,Canada,2014,1.90663590717861
CAN,Canada,2015,1.12524136094277
CAN,Canada,2016,1.42875954701085
CAN,Canada,2017,1.59688412852977
CAN,Canada,2018,2.26822567248103
CAN,Canada,2019,1.94926902411593
CAN,Canada,2020,0.716999632307827
CAN,Canada,2021,3.39519318527528
CAN,Canada,2022,6.80280115341613
CAN,Canada,2023,3.87900159788426
CHE,Switzerland,2000,1.5585291967901
CHE,Switzerland,2001,0.989020329832546
CHE,Switzerland,2002,0.642711506543278
CHE,Switzerland,2003,0.638272930887201
CHE,Switzerland,2004,0.802908730955227
CHE,Switzerland,2005,1.17195420333703
CHE,Switzerland,2006,1.05950928324802
CHE,Switzerland,2007,0.732350603122248
CHE,Switzerland,2008,2.42604117060158
CHE,Switzerland,2009,-0.480481936423275
CHE,Switzerland,2010,0.688238707220026
CHE,Switzerland,2011,0.2313492076509
CHE,Switzerland,2012,-0.692552018105253
CHE,Switzerland,2013,-0.217323155115693
CHE,Switzerland,2014,-0.0132025387514939
CHE,Switzerland,2015,-1.14390867228183
CHE,Switzerland,2016,-0.434618664285835
CHE,Switzerland,2017,0.533787839825897
CHE,Switzerland,2018,0.936335464113563
CHE,Switzerland,2019,0.362886179940614
CHE,Switzerland,2020,-0.725874933313384
CHE,Switzerland,2021,0.581814168489856
CHE,Switzerland,2022,2.83502798644463
CHE,Switzerland,2023,2.13540088016377
CHL,Chile,2000,3.84327295706565
CHL,Chile,2001,3.56910053001467
CHL,Chile,2002,2.48939816650705
CHL,Chile,2003,2.8101787574361
CHL,Chile,2004,1.05473871403517
CHL,Chile,2005,3.05257621387849
CHL,Chile,2006,3.39201733699405
CHL,Chile,2007,4.40779938398044
CHL,Chile,2008,8.71626873039607
CHL,Chile,2009,0.353045178360937
CHL,Chile,2010,1.41071107954321
CHL,Chile,2011,3.34121694259302
CHL,Chile,2012,3.00744840213047
CHL,Chile,2013,1.7895555398459
CHL,Chile,2014,4.71867527854672
CHL,Chile,2015,4.34877353217044
CHL,Chile,2016,3.78619355893118
CHL,Chile,2017,2.18271846868519
CHL,Chile,2018,2.43488981353057
CHL,Chile,2019,2.55754475703327
CHL,Chile,2020,3.04549084804326
CHL,Chile,2021,4.52456838259144
