iso3,country_name,gdp_pc_ppp,gov_cons_gdp,life_exp,emp_ratio,pop_65,manuf_va_gdp,cluster_id
AUS,Australia,49144.09215040189,19.82132723056356,82.59951219512196,61.763,15.40478374106548,5.753439344758816,2
AUT,Austria,54564.34256141759,19.64379051411992,81.61268292682928,57.4144,18.65489967314494,17.35545220304882,0
BEL,Belgium,50786.81201789122,23.26446543878168,81.5029268292683,49.7766,18.588747632510938,12.40382791624694,0
CAN,Canada,47987.811693118085,20.79482509825286,81.91024390243903,61.5358,16.76361129313112,9.75074255039177,2
CHE,Switzerland,69049.57914866458,11.4363489550361,83.54195121951223,65.2284,18.21963024843944,17.506436114616783,2
CHL,Chile,24185.2911210973,14.538785603288,80.3592,58.2548,11.79947133848748,9.567788797283416,1
COL,Colombia,14636.101066150342,15.08565428322672,76.417,59.7246,7.650772991222899,11.63735533414404,1
CRI,Costa Rica,20412.77484107884,16.59480610260872,80.155,56.3058,9.416312934551884,11.78340474425368,1
CZE,Czechia,39429.09126928684,18.90771910783492,78.96829268292683,58.0182,19.05161761423152,23.02204283618122,1
DEU,Germany,53956.47337169964,19.53026585185098,80.9619512195122,58.381600000000006,21.31202901218356,19.95171633881524,0
DNK,Denmark,54766.29434735158,24.70496354261464,81.01268292682929,58.3732,19.19670942401542,12.96920146388726,2
ESP,Spain,39546.7903940521,18.83547766607096,83.34146341463415,47.7912,18.97721639937828,10.91329239329846,0
EST,Estonia,34776.47662704368,19.05508478118748,78.04292682926832,59.225,19.42284172106138,13.34005601906926,1
FIN,Finland,47118.2528602212,23.5428787098257,81.65170731707317,54.08,21.143097564483337,14.89305442682626,0
FRA,France,45155.40355108141,23.5238012786766,82.59463414634148,50.0756,19.65132995023286,10.058470092531389,0
GBR,United Kingdom,46000.4178324628,18.87273406938606,81.19870243902439,59.6198,18.09466090910842,9.111104357001931,2
GRC,Greece,28904.10363990264,20.29265752355332,81.4278048780488,40.174,21.63174487700318,8.088169997468473,0
HUN,Hungary,30547.481260319146,19.871728740321537,75.9668292682927,54.963,18.80123237960852,18.91952658373952,1
IRL,Ireland,80678.5140913361,12.02727185879484,82.03414634146344,57.62820000000001,13.67435226363474,32.87754278735726,1
ISL,Iceland,55210.94793682284,23.45980798670532,82.67170731707316,73.9842,14.00878187246662,9.234820775902028,2
ISR,Israel,39008.83443060488,22.0809184114048,82.52341463414635,62.58239999999999,11.47169696815098,11.918837449051,2
ITA,Italy,42013.594228785645,18.8089943047653,83.11560975609758,43.8392,22.56143375276718,14.69886662677674,0
JPN,Japan,41553.57308402958,19.63911360860306,84.08917073170731,58.962,27.877368003606684,20.40646435091308,0
KOR,"Korea, Rep.",43330.07770745622,14.913090668104582,82.55609756097562,60.461,13.9418800480547,27.50084524005632,1
LTU,Lithuania,34054.79902380224,16.7022610370329,75.28731707317077,56.3182,19.42972026652842,16.655420966924982,1
LUX,Luxembourg,114849.9501476376,16.3777599442837,82.40146341463415,55.8882,14.3184730217707,5.210509723540532,2
LVA,Latvia,27920.55108065396,18.84007855189264,74.77219512195123,55.6296,19.98318422941056,10.84474339864566,1
MEX,Mexico,20310.87850827868,11.41095880850376,74.3798,58.327,6.9794447287941495,19.986227915579043,1
NLD,Netherlands,56266.9420797203,24.18205280718514,81.75121951219512,63.0308,18.41743650212784,10.40919988322694,2
NOR,Norway,65163.4777403163,23.6677767090937,82.6078048780488,62.5232,16.81070791599936,6.497799297340444,2
NZL,New Zealand,41523.23965555208,18.3165763907564,81.77858536585367,66.5088,14.898942345969498,10.23069726433766,2
POL,Poland,30750.55752351752,17.71627672566386,77.71268292682927,54.2376,16.46587273966402,17.195400189319678,1
PRT,Portugal,33387.68497594982,17.336939565059442,81.3346341463415,53.35940000000001,21.4824012804315,12.237138709797922,0
SVK,Slovak Republic,31153.0569192771,18.84947667163092,77.16536585365854,54.78680000000001,15.19947491136148,18.10503008815438,1
SVN,Slovenia,36418.66003064046,18.748215039733378,81.17756097560975,54.2312,18.96898301389742,20.36723379294608,0
SWE,Sweden,52143.58575946026,26.18718536306912,82.51804878048782,59.9034,19.81742587421048,13.44643772635104,2
TUR,Turkiye,27727.61593579596,14.39361355453504,77.07239999999999,46.494600000000005,8.003807971410529,17.670103538134878,1
USA,United States,60595.48795976278,14.09341731776948,78.6390243902439,59.7778,14.96568969813176,11.31018370520916,1
