cluster_id,indicator,mean_z
0,emp_ratio,-0.869109549047606
1,emp_ratio,-0.123204963387785
2,emp_ratio,0.8394457326018561
3,emp_ratio,0.6426555016481627
0,gdp_pc_ppp,-0.07086921660073586
1,gdp_pc_ppp,-0.751172057111375
2,gdp_pc_ppp,0.6624859845257653
3,gdp_pc_ppp,1.0858174317575167
0,gov_cons_gdp,0.3882853352461057
1,gov_cons_gdp,-0.5980274186782208
2,gov_cons_gdp,0.7622915383093525
3,gov_cons_gdp,-1.6273297220977205
0,life_exp,0.5923754456141775
1,life_exp,-1.199106775919752
2,life_exp,0.5979480667675454
3,life_exp,0.8316098169192797
0,manuf_va_gdp,0.06108772471085209
1,manuf_va_gdp,0.1830989934431438
2,manuf_va_gdp,-0.818054729395417
3,manuf_va_gdp,1.982116712256455
0,pop_65,0.9166862030210762
1,pop_65,-0.569567191927744
2,pop_65,-0.14242330422916138
3,pop_65,-0.3708394638834646
