iso3,country_name,indicator,z_score
CHE,Switzerland,emp_ratio,1.3013388132592882
CHL,Chile,emp_ratio,0.187122487896725
COL,Colombia,emp_ratio,0.42196176101504224
CRI,Costa Rica,emp_ratio,-0.12428161014899665
CZE,Czechia,emp_ratio,0.14931940447054828
DEU,Germany,emp_ratio,0.20738212854946914
DNK,Denmark,emp_ratio,0.2060400072443964
ESP,Spain,emp_ratio,-1.484713284453816
EST,Estonia,emp_ratio,0.3421374986324653
FIN,Finland,emp_ratio,-0.4799118007237351
FRA,France,emp_ratio,-1.1197202000127466
GBR,United Kingdom,emp_ratio,0.40521719997081806
GRC,Greece,emp_ratio,-2.701761666000181
HUN,Hungary,emp_ratio,-0.33882928734540146
IRL,Ireland,emp_ratio,0.0870066295922368
ISL,Iceland,emp_ratio,2.7003085421811583
ISR,Israel,emp_ratio,0.8785706021618139
ITA,Italy,emp_ratio,-2.1161494032207173
JPN,Japan,emp_ratio,0.3001163196760651
KOR,"Korea, Rep.",emp_ratio,0.539621062092963
LTU,Lithuania,emp_ratio,-0.12230038346055808
LUX,Luxembourg,emp_ratio,-0.19100421217254362
LVA,Latvia,emp_ratio,-0.23232237520723917
MEX,Mexico,emp_ratio,0.19865834006650415
NLD,Netherlands,emp_ratio,0.9502143156372902
NOR,Norway,emp_ratio,0.8691118424879793
NZL,New Zealand,emp_ratio,1.5059164464751635
POL,Poland,emp_ratio,-0.4547310486190628
PRT,Portugal,emp_ratio,-0.5950466355373542
SVK,Slovak Republic,emp_ratio,-0.3669818794827305
SVN,Slovenia,emp_ratio,-0.45575361723245045
SWE,Sweden,emp_ratio,0.45052977165156016
TUR,Turkiye,emp_ratio,-1.6918792944723284
USA,United States,emp_ratio,0.4304618626138269
AUS,Australia,pop_65,-0.34237989594013973
AUT,Austria,pop_65,0.39077465439460185
BEL,Belgium,pop_65,0.37585221143616976
CAN,Canada,pop_65,-0.0358583367907886
CHE,Switzerland,pop_65,0.2925874616872188
CHL,Chile,pop_65,-1.1556589446161538
COL,Colombia,pop_65,-2.0915138909709987
CRI,Costa Rica,pop_65,-1.6932469767132026
CZE,Czechia,pop_65,0.4802654817328639
DEU,Germany,pop_65,0.9901644935434175
DNK,Denmark,pop_65,0.5129949974739558
ESP,Spain,pop_65,0.4634822068097483
EST,Estonia,pop_65,0.5640054617224787
FIN,Finland,pop_65,0.9520572807041473
FRA,France,pop_65,0.615547372354515
GBR,United Kingdom,pop_65,0.264397131958198
GRC,Greece,pop_65,1.0622853489237167
HUN,Hungary,pop_65,0.4237840890881918
IRL,Ireland,pop_65,-0.7327271137727988
ISL,Iceland,pop_65,-0.6572871619047167
ISR,Israel,pop_65,-1.2295976213025444
ITA,Italy,pop_65,1.2720026771378732
JPN,Japan,pop_65,2.471160327735798
KOR,"Korea, Rep.",pop_65,-0.6723787395648138
LTU,Lithuania,pop_65,0.5655571100372566
LUX,Luxembourg,pop_65,-0.5874276614882464
LVA,Latvia,pop_65,0.6904063865902075
MEX,Mexico,pop_65,-2.242950756810134
NLD,Netherlands,pop_65,0.33720819461089957
NOR,Norway,pop_65,-0.025234376266661612
NZL,New Zealand,pop_65,-0.45648657038267637
POL,Poland,pop_65,-0.10302159491642224
PRT,Portugal,pop_65,1.0285967237552514
SVK,Slovak Republic,pop_65,-0.38869304472221433
SVN,Slovenia,pop_65,0.46162493643659946
SWE,Sweden,pop_65,0.6530149535119452
TUR,Turkiye,pop_65,-2.01187697722365
USA,United States,pop_65,-0.44142983825889404
AUS,Australia,manuf_va_gdp,-1.4559790877401346
AUT,Austria,manuf_va_gdp,0.5179173234914026
BEL,Belgium,manuf_va_gdp,-0.32452213325349544
CAN,Canada,manuf_va_gdp,-0.7759020572647404
CHE,Switzerland,manuf_va_gdp,0.5436048145188541
CHL,Chile,manuf_va_gdp,-0.8070287040882596
COL,Colombia,manuf_va_gdp,-0.45492515017820445
CRI,Costa Rica,manuf_va_gdp,-0.4300771854328532
CZE,Czechia,manuf_va_gdp,1.4819968372169945
DEU,Germany,manuf_va_gdp,0.959630026519195
DNK,Denmark,manuf_va_gdp,-0.22833289175519278
ESP,Spain,manuf_va_gdp,-0.5781128468216895
EST,Estonia,manuf_va_gdp,-0.1652379370689839
FIN,Finland,manuf_va_gdp,0.09897983455065952
FRA,France,manuf_va_gdp,-0.723547151397482
GBR,United Kingdom,manuf_va_gdp,-0.8847262371583762
GRC,Greece,manuf_va_gdp,-1.0587621123010043
HUN,Hungary,manuf_va_gdp,0.7840194942658963
IRL,Ireland,manuf_va_gdp,3.158752088407624
ISL,Iceland,manuf_va_gdp,-0.8636778726840317
ISR,Israel,manuf_va_gdp,-0.4070354828224484
ITA,Italy,manuf_va_gdp,0.06594189481515815
JPN,Japan,manuf_va_gdp,1.0369981073908883
KOR,"Korea, Rep.",manuf_va_gdp,2.243993233842886
LTU,Lithuania,manuf_va_gdp,0.3988182359785416
LUX,Luxembourg,manuf_va_gdp,-1.5483498551202377
LVA,Latvia,manuf_va_gdp,-0.5897753588522645
MEX,Mexico,manuf_va_gdp,0.9655016177984049
