cluster_id,indicator,mean_z
0,emp_ratio,-0.869109549047606
1,emp_ratio,-0.06500245549040036
2,emp_ratio,0.8779368226566421
0,gdp_pc_ppp,-0.07086921660073586
1,gdp_pc_ppp,-0.5232315249717446
2,gdp_pc_ppp,0.7190028547653552
0,gov_cons_gdp,0.3882853352461057
1,gov_cons_gdp,-0.7109607036184118
2,gov_cons_gdp,0.5327726555474187
0,life_exp,0.5923754456141775
1,life_exp,-0.9491536341641248
2,life_exp,0.6434312175588279
0,manuf_va_gdp,0.06108772471085209
1,manuf_va_gdp,0.5188688158007586
2,manuf_va_gdp,-0.7045831007358944
0,pop_65,0.9166862030210762
1,pop_65,-0.5872986232265522
2,pop_65,-0.10617240706946303
