cluster_id,indicator,mean_z
0,emp_ratio,-0.014831908222874935
1,emp_ratio,-0.006943992114036268
2,emp_ratio,0.4304618626138269
0,gdp_pc_ppp,-0.08097422849078344
1,gdp_pc_ppp,-0.2500488626114131
2,gdp_pc_ppp,5.532165965968434
0,gov_cons_gdp,0.5752884367777291
1,gov_cons_gdp,-0.7585939962202345
2,gov_cons_gdp,-1.2774356658065154
0,life_exp,0.5951617561908615
1,life_exp,-0.8264118684183086
2,life_exp,-0.6973806099243061
0,manuf_va_gdp,-0.3784835023422825
1,manuf_va_gdp,0.5891483471395826
2,manuf_va_gdp,-0.510588155563506
0,pop_65,0.3871314493959574
1,pop_65,-0.538364136563478
2,pop_65,-0.44142983825889404
